조사차수,일반_대표자_성별코드,대표자연령대코드,일반_합계종사자수,일반_합계_남자종사자수,일반_합계_여자종사자수,일반_대표자종사자수,일반_대표자_남자종사자수,일반_대표자_여자종사자수,일반_근로계약기간_1년이상_종사자수,일반_근로계약기간_1년이상_남자종사자수,일반_근로계약기간_1년이상_여자종사자수,일반_근로계약기간_3개월이상1년미만_종사자수,일반_근로계약기간_3개월이상1년미만_남자종사자수,일반_근로계약기간_3개월이상1년미만_여자종사자수,일반_근로계약기간_3개월미만_종사자수,일반_근로계약기간_3개월미만_남자종사자수,일반_근로계약기간_3개월미만_여자종사자수,일반_무급가족종사자수,일반_무급가족_남자종사자수,일반_무급가족_여자종사자수,일반_기타근로자종사자수,일반_기타근로자_남자종사자수,일반_기타근로자_여자종사자수,일반_사업자형태코드,산업중분류코드,일반_프랜차이즈가맹점여부,일반_창업형태코드,일반_창업인수승계_연도,일반_창업인수승계_월,일반_사업장이전_경험여부,일반_사업장이전_사유코드,일반_현사업체_직전종사상지위항목코드,일반_창업횟수,창업_동기코드,창업_준비기간_창업_준비기간_년수,창업_준비기간_창업_준비기간_월수,창업_준비활동중요성_사업계획서작성코드,창업_준비활동중요성_시장조사코드,창업_준비활동중요성_동종업종종사경험코드,창업_준비활동중요성_창업교육코드,창업_준비활동_사업계획서작성여부,창업_준비활동_시장조사여부,창업_준비활동_동종업종종사경험여부,창업_준비활동_창업교육여부,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,창업_비용_총창업비용,창업_비용_본인부담금액,경영_영업기간_하루평균시간수,경영_영업기간_월평균일수,경영_영업기간_년간월수,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_고객결재방법_합계비율,경영_점유형태코드,경영_점유형태_임차형태코드,경영_점유형태_보증금액,경영_점유형태_월세금액,경영_점유형태_일정비율지급금액,경영_운영활동코드1,경영_운영활동코드2,경영_운영활동코드3,경영_운영활동코드4,경영_운영활동코드5,경영_운영활동_디지털대응1코드,경영_운영활동_디지털대응2코드,경영_운영활동_디지털대응3코드,경영_운영활동_디지털대응4코드,경영_운영활동_디지털대응5코드,경영_운영활동_디지털대응6코드,경영_단체활동여부,경영_매출금액,경영_영업비용,경영_영업비용_매출원가,경영_영업비용_급여총액,경영_영업비용_임차료,경영_영업비용_기타금액,경영_영업이익,경영_전자상거래_매출실적여부,경영_전자상거래_매출비율,경영_부채여부,경영_부채금액,경영_애로사항1코드,경영_애로사항2코드,정부지원정책_지원경험코드,정부지원정책_추진정책1코드,정부지원정책_추진정책2코드,코로나19_지원정책1코드,코로나19_지원정책2코드,사업전환_운영계획코드,사업전환_운영계획_소유권승계계획여부,사업전환_노후준비1해당여부,사업전환_노후준비2해당여부,사업전환_노후준비3해당여부,사업전환_노후준비4해당여부,사업전환_노후준비5해당여부,사업체수가중값,종사자수가중값,매출금액가중값,행정구역시도코드,기준연도
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,1,2020,3,2,0,3,1,2,0,6,5,5,3,3,1,1,2,2,4,4,4,3,2,3,3,50,50,6,20,12,60,40,0,0,0,100,2,1,1000,79,0,6,,,,,,,,,,,2,20,18,5,0,10,3,2,2,0,2,0,1,8,1,1,5,1,4,1,2,1,,,,,26.36046512,23.43065693,18.49013413,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,3,2017,1,1,5,4,1,2.19200571,0.772305496,2.834403997,3.451820128,3.857244825,4.003568879,2.977159172,1.478943612,1.327623126,1.326195575,1.740185582,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,80.85938615,66.39471806,8,24,12,100,0,0,0,0,100,2,1,1000,70,0,6,,,,,,,,,,,1,36,25,13,0,8,4,11,2,0,2,0,1,2,1,1,5,1,4,1,2,1,4,,,,26.36046512,23.43065693,18.49013413,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,2,1,2017,7,2,0,3,1,2,0,6,2,3,5,2,2,2,1,2,3,2,3,3,2,2,2,200,100,8,20,12,100,0,0,0,0,100,2,1,3000,120,0,6,,,,,,,,,,,2,108,73,54,0,14,5,35,2,0,1,100,3,,1,1,3,1,3,1,2,1,2,4,,,66.27659574,62.40740741,66.6546875,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,2,1,2019,8,2,0,4,1,2,1,0,4,4,4,4,2,1,2,2,1,3,3,3,1,1,3,25,25,8,22,12,100,0,0,0,0,100,2,5,0,0,0,1,,,,,,,,,,,2,50,26,16,0,0,10,24,2,0,2,0,3,,1,3,6,1,6,1,1,1,2,3,,,36.70588235,35.84210526,30.05006395,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,1,2019,7,2,0,4,1,2,1,0,4,5,3,3,1,1,2,2,3,3,4,3,2,2,3,30,30,8,20,12,100,0,0,0,0,100,2,5,0,0,0,6,,,,,,,,,,,2,18,10,8,0,0,2,8,2,0,2,0,2,,1,5,,7,,1,2,4,,,,,51.72222222,47.75609756,80.20624196,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,1,2017,7,2,0,3,1,2,0,6,2,3,5,2,1,1,1,1,4,2,5,2,5,3,2,150,50,12,28,12,10,80,10,0,0,100,2,1,5000,400,0,1,2,,,,,,,,,,2,173,165,0,0,62,103,8,2,0,1,3,2,7,1,1,2,1,,1,2,6,,,,,886.7884615,711.3962264,578.4623965,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,1,2019,4,2,0,3,1,2,1,0,5,4,4,5,1,1,1,1,2,2,3,2,3,3,3,10,10,8,24,12,100,0,0,0,0,100,2,1,1000,20,0,6,,,,,,,,,,,2,10,6,2,0,3,1,4,2,0,2,0,2,3,1,1,5,1,2,3,,6,,,,,886.7884615,711.3962264,578.4623965,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,1,2020,3,2,0,4,1,2,0,6,5,5,1,1,1,1,2,2,2,2,3,3,3,3,3,21,21,10,20,12,0,100,0,0,0,100,2,2,0,5,0,6,,,,,,,,,,,2,30,17,12,0,1,4,13,1,100,2,0,2,,1,1,3,1,2,1,2,6,,,,,886.7884615,711.3962264,578.4623965,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,2,1,2020,5,2,0,4,1,3,0,2,4,3,3,3,2,2,2,2,3,3,3,3,2,3,2,10,10,10,30,12,100,0,0,0,0,100,2,5,0,0,0,6,,,,,,,,,,,2,10,4,3,0,0,1,6,1,100,2,0,2,3,1,5,6,1,6,1,2,4,,,,,886.7884615,711.3962264,578.4623965,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,2,1,2018,6,2,0,3,1,2,0,7,3,4,3,2,1,1,1,2,3,2,3,3,2,3,3,80,80,8,25,12,1,99,0,0,0,100,2,1,4000,180,0,1,,,,,,,,,,,2,85,68,40,0,22,6,17,2,0,1,20,1,5,1,1,5,1,7,1,2,6,,,,,1403.395833,1010.536585,1629.625835,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62,2,1,2019,4,2,0,4,1,2,0,1,2,2,2,1,2,2,2,2,2,2,2,1,5,1,1,40,40,9,30,12,100,0,0,0,0,100,2,1,4000,40,0,6,,,,,,,,,,,2,30,11,0,0,5,6,19,1,100,2,0,2,4,2,1,2,1,,1,2,6,,,,,46.70930233,41.23,35.92416676,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,2020,2,2,0,3,1,2,3,0,5,5,5,3,1,1,1,2,3,5,5,5,4,3,4,30,30,9,22,12,10,90,0,0,0,100,2,1,500,90,0,2,,,,,,,,,,,2,90,65,39,0,11,15,25,2,0,1,80,3,7,1,1,3,2,6,1,1,1,,,,,11.4017094,9.236842105,5.442146199,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,2,2,2020,11,2,0,3,1,2.19200571,0.772305496,2.834403997,3.451820128,3.857244825,4.003568879,2.977159172,1.478943612,1.327623126,1.326195575,1.740185582,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,80.85938615,66.39471806,7,30,12,100,0,0,0,0,100,2,1,2000,210,0,2,,,,,,,,,,,2,48,29,0,0,25,4,19,2,0,2,0,2,,1,3,,6,1,2,,4,,,,,365.902439,256.1259843,264.9399518,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,2,1,2020,3,2,0,3,1,2,0,6,3,3,3,3,2,2,2,2,3,3,4,3,3,3,3,30,30,8,22,12,100,0,0,0,0,100,2,1,2000,70,0,6,,,,,,,,,,,2,22,10,1,0,8,1,12,2,0,2,0,5,,1,1,,2,,1,2,6,,,,,117.9782609,113.8,129.9729855,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,2,1,2018,11,1,6,3,1,3,2,0,5,5,5,5,1,1,2,1,5,2,5,5,5,5,5,20,20,12,24,12,100,0,0,0,0,100,2,3,4390,0,0,2,1,,,,,,,,,,2,16,16,0,0,0,16,0,2,0,1,60,6,9,1,1,2,1,6,1,2,6,,,,,51.66666667,49.67241379,34.10092412,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,2,1,2019,6,2,0,3,1,2,0,6,4,4,5,4,2,2,2,2,2,2,2,5,2,3,2,5,5,6,18,12,100,0,0,0,0,100,2,5,0,0,0,3,,,,,,,,,,,2,20,5,4,0,0,1,15,2,0,2,0,2,3,1,1,4,4,7,1,2,4,,,,,51.66666667,49.67241379,34.10092412,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,2,1,2020,8,2,0,4,1,2,2,0,4,4,1,3,1,1,2,1,3,3,3,4,3,2,2,25,15,8,20,12,90,10,0,0,0,100,2,2,0,20,0,2,3,,,,,,,,,,2,30,13,5,0,3,5,17,2,0,1,21,3,6,1,1,5,1,7,1,2,1,,,,,51.66666667,49.67241379,34.10092412,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,2,1,2018,2,1,2,4,1,2,0,6,5,4,3,2,1,1,2,1,2,2,4,4,3,2,3,30,30,10,25,12,100,0,0,0,0,100,2,1,1000,88,0,6,,,,,,,,,,,2,19,27,0,0,11,16,-8,2,0,1,80,1,7,1,1,3,2,6,2,,1,,,,,73.36296296,64,65.02974596,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,85,2,1,2021,4,2,0,3,1,2.19200571,0.772305496,2.834403997,3.451820128,3.857244825,4.003568879,2.977159172,1.478943612,1.327623126,1.326195575,1.740185582,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,80.85938615,66.39471806,5,10,9,50,50,0,0,0,100,2,5,0,0,0,6,,,,,,,,,,,2,31,21,20,0,0,1,10,2,0,2,0,2,,1,6,,1,,1,2,6,,,,,271.2891566,175.3846154,157.9658563,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45,2,1,2016,10,2,0,4,1,2,1,0,3,5,5,3,2,1,1,2,1,1,5,3,1,3,3,22,22,8,20,12,90,0,0,0,10,100,2,2,0,11,0,6,,,,,,,,,,,2,2636,2557,2293,45,20,199,79,2,0,1,334,2,1,3,5,3,1,6,1,2,6,,,,,108.5,110.76,74.12724617,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,2,1,2016,9,2,0,4,1,2,3,0,2,2,1,3,1,2,2,2,2,2,5,3,3,2,2,1000,100,8,22,12,0,100,0,0,0,100,2,1,2000,150,0,6,,,,,,,,,,,2,2000,632,80,432,20,100,1368,2,0,1,8,6,7,2,1,2,2,4,1,2,1,2,3,4,,107.5157895,97.19444444,43.3498139,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,63,2,1,2017,8,2,0,4,1,3,0,6,3,3,3,3,2,2,2,2,4,3,3,3,3,4,4,20,20,8,22,12,80,20,0,0,0,100,2,1,110,10,0,6,,,,,,,,,,,2,12,2,0,0,1,1,10,2,0,2,0,1,3,2,3,7,1,2,1,1,6,,,,,11.4017094,9.236842105,5.442146199,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,63,2,1,2019,8,2,0,3,1,2,0,6,5,5,5,5,1,1,1,1,3,3,3,2,4,4,4,20,20,8,24,12,0,0,0,0,100,100,1,0,0,0,0,2,,,,,,,,,,,2,104,327,32,188,13,94,-223,2,0,1,246,2,7,1,5,6,1,3,1,2,6,,,,,11.4017094,9.236842105,5.442146199,11,2021
5,1,20,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,2,1,2018,1,2,0,4,1,2,2,0,5,4,4,5,1,2,2,1,2,2,2,4,1,2,2,13,13,8,23,12,100,0,0,0,0,100,2,1,100,10,0,6,,,,,,,,,,,2,24,20,1,0,1,18,4,2,0,2,0,2,8,1,1,3,2,1,1,1,1,,,,,11.4017094,9.236842105,5.442146199,11,2021
