범위,설명,f,p-value
전체,"is_risky, sum_new_customer_cnt",559.8344682,6.28E-123
전체,"is_risky, sum_weekend_sales_card",418.7916432,1.28E-92
전체,"is_risky, sum_sales_card",322.513662,7.68E-72
전체,"is_risky, sum_customer_cnt",310.8959405,2.54E-69
전체,"is_risky, sum_sales_delivery",95.39440525,1.65E-22
전체,"is_risky, sum_weekend_sales_delivery",90.11585154,2.36E-21
전체,"is_risky, age",70.89773452,3.88E-17
전체,"is_risky, sum_purchase_card",39.68665479,3.00E-10
전체,"is_risky, regular_employees_count",24.38618392,7.91E-07
전체,"is_risky, is_franchise",22.38861882,2.2342E-06
전체,"is_risky, sum_purchase_invoice",20.2196058,6.9228E-06
전체,"is_risky, business_square_size",5.897178409,0.015169375
전체,"is_risky, sum_sales_invoice",2.377555055,0.123097674
전체,"is_risky, sum_purchase_cash",2.119874122,0.145406049
전체,"is_risky, rental_deposit",0.378346277,0.538492981
전체,"is_risky, duration",0.13597881,0.712313683
전체,"is_risky, monthly_rental_fee",0.101720217,0.749776595
,,,
,,,
,,,
,,,
,,,
,,,
,,,
서비스업,"is_risky, sum_sales_card",52.65785048,0
서비스업,"is_risky, sum_weekend_sales_card",61.94869604,0
서비스업,"is_risky, regular_employees_count",26.97943105,2.10E-07
서비스업,"is_risky, age",18.02110753,2.21E-05
서비스업,"is_risky, sum_customer_cnt",14.36895668,1.51E-04
서비스업,"is_risky, duration",13.43214176,0.000248765
서비스업,"is_risky, sum_new_customer_cnt",12.5285925,4.03E-04
서비스업,"is_risky, monthly_rental_fee",11.40562554,0.000735307
서비스업,"is_risky, business_square_size",10.54781415,0.001167497
서비스업,"is_risky, sum_purchase_invoice",4.525256037,0.033425055
서비스업,"is_risky, rental_deposit",3.888998217,0.048633822
서비스업,"is_risky, sum_purchase_card",2.192005547,1.39E-01
서비스업,"is_risky, sum_sales_invoice",1.025423997,0.311262952
서비스업,"is_risky, sum_purchase_cash",0.124396853,0.724322041
서비스업,"is_risky, sum_weekend_sales_delivery",4.98E-08,0.999821963
서비스업,"is_risky, sum_sales_delivery",6.20E-09,0.999937127
서비스업,"is_risky, is_franchise",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
유통업,"is_risky, sum_customer_cnt",14.63901146,0.000132503
유통업,"is_risky, sum_sales_card",12.15380585,0.000495579
유통업,"is_risky, sum_sales_invoice",6.26226808,0.012376479
유통업,"is_risky, sum_weekend_sales_delivery",5.133623686,0.023524293
유통업,"is_risky, sum_sales_delivery",4.968810752,0.025868274
유통업,"is_risky, sum_purchase_card",4.616160462,0.031736839
유통업,"is_risky, sum_purchase_cash",4.616160462,0.031736839
유통업,"is_risky, monthly_rental_fee",3.80623688,0.051137512
유통업,"is_risky, sum_weekend_sales_card",2.365229749,0.124151247
유통업,"is_risky, age",1.952788967,0.162370506
유통업,"is_risky, sum_purchase_invoice",1.707399133,0.191404466
유통업,"is_risky, business_square_size",1.56432405,0.211112388
유통업,"is_risky, rental_deposit",1.1727927,0.278898803
유통업,"is_risky, regular_employees_count",1.019976235,0.312590775
유통업,"is_risky, duration",0.056474502,0.812170669
유통업,"is_risky, sum_new_customer_cnt",0.049307114,0.824285631
유통업,"is_risky, is_franchise",0.045431316,0.831224661
,,,
,,,
,,,
외식업,"is_risky, age",54.14065457,0.00E+00
외식업,"is_risky, sum_sales_card",1028.274264,1.02E-221
외식업,"is_risky, sum_weekend_sales_card",678.7666117,6.43E-148
