상권_코드_명,상권_코드,기준_년_코드,기준_분기_코드,점포_수,유사_업종_점포_수,개업_율,폐업_율,주중_매출_금액,주말_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,경영_위기_비율
DMC(디지털미디어시티),2120098,2022,1,606,766,0.0313531353135313,0.0165016501650165,37382867518,4965199863,16942804624,14875440925,134898169,5173771025,9476101888,9081633819,6171147110,1780693548,72,24,1285,8846.0,318202,3567709.0,0.1509433962264151
DMC(디지털미디어시티),2120098,2022,2,608,768,0.0427631578947368,0.0328947368421052,44571825145,6419369163,19731335895,17558584067,168970007,6381971106,11415878572,10697503069,6545575249,2080021951,72,24,1285,8846.0,358782,3567709.0,0.2075471698113207
DMC(디지털미디어시티),2120098,2022,3,616,774,0.0357142857142857,0.0275974025974025,45385927882,6105428418,19802444629,17775131249,166592951,6785138058,11629832557,10433246146,6625637008,1937129156,72,24,1285,8846.0,352688,3567709.0,0.1428571428571428
DMC(디지털미디어시티),2120098,2022,4,620,778,0.0419354838709677,0.0370967741935483,45085782411,6797770801,19623759597,17577661120,189166762,6628895513,11291122388,10460774846,6557309916,2074151287,72,24,1285,8846.0,355095,3567709.0,0.2916666666666667
가락시장역,2120234,2022,1,1098,1203,0.0163934426229508,0.0227686703096539,26990791235,6976589934,16621976320,13812371222,105286690,2938996204,5347283018,6511606120,8120967586,7410207943,62,3,2694,10268.0,1430185,3494644.0,0.2352941176470588
가락시장역,2120234,2022,2,1092,1194,0.021062271062271,0.0192307692307692,30903542927,9195145108,19797454345,15974674678,118118454,3633237787,7019033808,7640281007,9215548097,8145909869,62,3,2694,10268.0,1490392,3494644.0,0.2777777777777778
가락시장역,2120234,2022,3,1088,1184,0.0238970588235294,0.0358455882352941,30722888176,8511222836,20379879758,14125912438,159558077,3757183847,7274699737,7362371634,7418208631,8533770275,62,3,2694,10268.0,1522873,3494644.0,0.1666666666666666
가락시장역,2120234,2022,4,1086,1182,0.0202578268876611,0.0211786372007366,30155716171,9365312696,21227658544,13310779137,124756568,3824020084,7088088582,8470708315,7657422983,7373441158,62,3,2694,10268.0,1613064,3494644.0,0.1111111111111111
가로수길,2120186,2022,1,1568,1667,0.0235969387755102,0.0133928571428571,68339311855,33033571865,38228809264,56213906313,1205320273,28303132278,26454312825,16364059118,14953117316,7162773727,42,3,3152,6518.0,1977135,3602514.0,0.1048387096774193
가로수길,2120186,2022,2,1563,1659,0.0243122200895713,0.0236724248240563,84946983429,41505531520,44597930357,71750960330,1156138580,34287642778,32352094039,21278352329,16823170550,10451492394,42,3,3152,6518.0,2273038,3602514.0,0.1259842519685039
