상권_코드_명,상권_코드,클러스터
가로수길,2120186,0
건대입구역(건대),2120053,0
경의선책거리,2110566,0
경희대학교(경희대),2120064,0
대학로(혜화역),2120012,0
뚝섬역,2120051,0
로데오거리상점가,2130318,0
미아사거리역,2120078,0
배화여자대학교(박노수미술관),2110008,0
상수역(홍대),2120105,0
샤로수길,2110895,0
서교동(홍대),2120102,0
서울대입구역,2120159,0
서원동상점가,2130285,0
서촌(경복궁역),2120002,0
성수동카페거리,2110131,0
성신여대,2120072,0
송파나루역 1번(송리단길),2111013,0
"신림역 5번(신림동주민센터, 신림동별빛거리)",2110869,0
안암역 3번,2110313,0
어린이대공원역,2120054,0
연남동(홍대),2120104,0
연신내상점가(연빛거리),2130167,0
연트럴파크(연남동주민센터),2110562,0
연희동,2120093,0
왕십리역(왕십리),2120049,0
천호역,2120243,0
해방촌 남동측,2110081,0
홍대 걷고싶은 거리,2130191,0
홍대입구역 3번,2110564,0
홍대입구역(홍대),2120103,0
가락시장역,2120234,1
강동구청역,2120242,1
강동역 4번(강풀만화거리),2111059,1
강변역(테크노마트),2120060,1
강서구청,2120122,1
구로역,2120125,1
구의역,2120056,1
군자역,2120055,1
길동역,2120246,1
노량진역(노량진),2120153,1
둔촌역,2120245,1
등촌역,2120112,1
명일역,2120248,1
목동사거리,2120111,1
문래예술촌(문래창작촌),2110759,1
방학동도깨비시장,2130148,1
사당역(사당),2120160,1
선유도역 골목형상점가,2130241,1
성수역,2120052,1
수서역,2120224,1
양재역,2120179,1
연신내역,2120090,1
영등포구청역,2120136,1
용산전자상가(용산역),2120040,1
을지로3가역,2120031,1
인사동,2120008,1
장안동사거리,2120067,1
장지역(가든파이브),2120236,1
장한평역(장한평),2120066,1
종로3가역,2120009,1
충무로역,2120032,1
포이사거리(삼호물산),2120184,1
학동역,2120191,1
화곡역,2120120,1
가산디지털단지,2120131,2
강남역,2120189,2
교대역(법원.검찰청),2120173,2
노원역,2120081,2
논현역,2120185,2
망리단길,2110544,2
선릉역,2120210,2
수유역,2120076,2
신논현역,2120187,2
신림역(신림),2120157,2
신사역,2120178,2
"신촌역(신촌역, 신촌로터리)",2120094,2
압구정역,2120188,2
역삼역,2120197,2
영등포역(영등포),2120145,2
잠실새내역(신천),2120225,2
"총신대입구역(이수, 총신대)",2120156,2
DMC(디지털미디어시티),2120098,3
강남구청역,2120203,3
광화문역,2120003,3
구로디지털단지,2120129,3
구로디지털단지역,2120130,3
구역삼세무서,2120198,3
국회의사당역(국회의사당),2120148,3
당산역,2120143,3
도화동 상점가,2130195,3
르네상스호텔사거리,2120204,3
마곡역(마곡),2120118,3
목동신시가지,2120114,3
문정역,2120235,3
발산역(마곡),2120119,3
뱅뱅사거리,2120192,3
삼전역 1번,2111004,3
상암동상점가,2130183,3
서울역 12번,2110074,3
석촌역(석촌호수),2120228,3
신용산역(용산역),2120041,3
신정2동주민센터,2110625,3
압구정로데오역(압구정로데오),2120202,3
양천향교역 7번,2110648,3
언주역(차병원),2120194,3
여의도역(여의도),2120149,3
은행사거리,2120085,3
종각역,2120006,3
청담사거리(청담동명품거리),2120208,3
포스코사거리,2120215,3
학동사거리,2120200,3
합정역,2120101,3
