trdar_nm,year,quarter,class_1_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery),cluster
DMC(디지털미디어시티),2022,1,외식업,41.9528301865,5.2471698121,0.1698113208,40.2902150765,0.1509433962,1.8596226422,0.7932692309,3.4999999995,21.9620754717,5.3137735846,4.2833196241,0.3935676044,7.7381955284,12.8526691486,1.0106283025,0.0711133197,0.9158116035,0.2030358495,3
DMC(디지털미디어시티),2022,2,외식업,42.2528301859,5.2150943395,0.1698113208,39.6398377206,0.2075471698,1.9098113207,0.7392452833,3.650943396,26.2398076915,6.5886538461,3.6946096598,0.5332633972,7.9248713506,14.9145696331,0.7851830193,0.0840237705,1.1781366026,0.1722471701,3
DMC(디지털미디어시티),2022,3,외식업,43.5040816341,5.4204081636,0.1836734694,40.6306408378,0.1428571429,1.953469389,0.6873469394,3.6836734701,24.3738775507,6.3330612248,3.6344588991,0.528276286,8.8675910405,15.0412896177,0.7247387766,0.0910562425,1.1181559202,0.1222897969,3
DMC(디지털미디어시티),2022,4,외식업,44.1562500015,5.5062500006,0.1875,40.0321124909,0.2916666667,1.9212499994,0.586875,3.5312500002,22.8056249998,5.8962500004,3.3566036248,0.5117171047,9.7896680591,15.3916911633,0.5187104177,0.1372346678,1.1346566678,0.0944125006,3
가락시장역,2022,1,외식업,44.2058823542,5.3058823556,0.5294117647,95.744117663,0.2352941176,3.8129411802,2.1323529427,5.9705882377,4.7147058839,3.2594117644,3.8100623558,0.0798002974,22.2365053535,32.3327647106,6.3707058843,-3.4e-09,8.0838705898,2.0465294135,1
가락시장역,2022,2,외식업,43.8999999965,5.0833333325,0.5,95.7416666549,0.2777777778,3.74,2.2044444443,5.9166666675,6.6266666662,4.6366666674,4.1906731725,0.3643740012,25.9947343832,51.6766444405,7.2599444461,-9.2e-09,13.1285222219,2.7106666679,1
가락시장역,2022,3,외식업,43.9000000048,5.0833333343,0.5,95.7416666659,0.1666666667,3.7399999999,2.2361111126,5.9166666668,6.950000006,4.5522222256,4.4023222193,0.4940061682,28.4657576008,53.5854833256,8.8308888916,-2.2e-09,13.5191944435,2.7733888923,1
가락시장역,2022,4,외식업,43.9000000002,5.0833333331,0.5,95.7416666205,0.1111111111,3.7399999983,2.2088888888,5.9166666674,6.8638888893,4.4555555558,3.7238709365,0.3984945018,27.1973039996,56.2812411078,8.0052222227,1.72e-08,14.8655277788,2.6846666684,1
가로수길,2022,1,서비스업,40.8960000074,5.8680000005,0.0,167.0035999877,0.16,4.9370544828,1.2100000008,3.8600000023,0.9243478305,0.4460869597,3.3726026385,0.3244874418,6.0536831983,9.2770924022,4e-10,2.1197268002,3.6904108029,1.9e-09,0
가로수길,2022,1,외식업,41.0500000001,4.7189189193,0.1621621622,114.6092297214,0.0810810811,4.1274999997,4.2543243249,5.8175675675,6.6963513511,5.3718918921,5.3362640938,0.320331514,19.8807692587,38.8551038746,0.747397298,0.0056938944,11.3797565132,0.2247648652,0
