trdar_nm,year,quarter,class_2_name,average(age),average(duration),average(is_franchise),average(business_square_size),average(is_risky),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),average(sum_weekend_sales_card),average(sum_weekend_sales_delivery)
DMC(디지털미디어시티),2022,1,개인 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,교육서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,개인 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,전문유통,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,한식,50.3000000024,5.040000003,0.0,41.3960000011,0.3333333333,1.4620000004,0.300000001,1.5000000017,8.0286666719,3.1946666699,3.2944006021,0.3591872676,7.8493512033,14.4099700025,0.739633335,0.4391509233,0.4401999987,0.0635999999
DMC(디지털미디어시티),2023,1,베이커리/디저트,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,패스트푸드,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,일식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,양식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,술집,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,베이커리/디저트,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,교육서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2022,4,카페,41.3636363667,5.7181818194,0.2727272727,39.4121636366,0.2727272727,2.1300000015,0.7172727284,4.4545454554,29.5224242442,7.1242424267,3.3848777266,0.5810488494,10.6716302792,15.8379280664,0.4182909093,1.1e-09,1.4503187893,0.1084181813
DMC(디지털미디어시티),2023,1,양식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,일식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,카페,41.3833333309,5.5533333347,0.3,38.1570466708,0.3,2.1686666684,0.6330000016,4.3000000012,27.8846666662,6.781,3.7230149365,0.6839019677,8.0821256029,15.3577080389,0.3273400004,2.7e-09,1.1505743342,0.0579666676
DMC(디지털미디어시티),2023,2,전문유통,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,한식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,패스트푸드,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,카페,40.1111110968,4.9555555536,0.3333333333,37.7215332837,0.2222222222,2.2333333314,0.7033333341,3.8888888869,31.2733333322,8.2566666616,9.0384049013,1.0327537799,10.0321634427,17.2488831823,0.3022666693,1.04e-08,1.985271104,0.0666999996
DMC(디지털미디어시티),2023,2,일식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,양식,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,술집,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,베이커리/디저트,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,"예술, 스포츠 및 여가관련 서비스업",,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,교육서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,건강/의료 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,2,개인 서비스업,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,전문유통,,,,,,,,,,,,,,,,,,
DMC(디지털미디어시티),2023,1,한식,48.5857142878,4.8999999998,0.0,40.4192857118,0.0714285714,1.5092857166,0.5357142875,1.5000000046,7.7457142851,3.1307142871,2.2257162869,0.3512965719,7.2209237847,14.3663642892,0.7147857161,0.4904142072,0.2959285724,0.0366428561
