상권_코드_명,기준_년_코드,기준_분기_코드,yearquarter,lease_sole,lease_corp,owner,is_risky_0,is_risky_1,total_stores_count,existing_customers_count,Restaurant,Service,Distribution,Japanese,Korean,Western,Bar,PersonalService,ArtSportsandLeisure-relatedServiceIndustry,BakeryDessert,Cafe,ProfessionalDistribution,HealthcareServiceIndustry,EducationServiceIndustry,Fastfood,average(age),average(duration),average(is_franchise),average(business_square_size),average(monthly_rental_fee),average(regular_employees_count),average(rental_deposit),average(sum_customer_cnt),average(sum_new_customer_cnt),average(sum_purchase_card),average(sum_purchase_cash),average(sum_purchase_invoice),average(sum_weekend_sales_delivery),average(sum_weekend_sales_card),average(sum_sales_card),average(sum_sales_delivery),average(sum_sales_invoice),경영_위기_비율,클러스터
DMC(디지털미디어시티),2022,1,2022-1,42.0,11.0,0.0,45.0,8.0,53.0,16.648301884,53.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,41.9528301875,5.2471698109,0.1698113208,40.2902150938,1.8596226413,0.7932692306,3.4999999996,21.9620754707,5.3137735843,4.2833196224,0.3935676035,7.7381955278,0.2030358487,0.9158116033,12.8526691504,1.0106283016,0.0711133205,0.1509433962264151,3
DMC(디지털미디어시티),2022,2,2022-2,44.0,9.0,0.0,42.0,11.0,53.0,19.6511538409,53.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,42.252830189,5.2150943392,0.1698113208,39.6398377355,1.9098113205,0.739245283,3.650943396,26.2398076921,6.588653846,3.6946096602,0.533263396,7.9248713587,0.1722471695,1.1781366034,14.9145696415,0.7851830185,0.0840237733,0.2075471698113207,3
DMC(디지털미디어시티),2022,3,2022-3,43.0,6.0,0.0,42.0,7.0,49.0,18.0408163226,49.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,43.5040816323,5.4204081633,0.1836734694,40.630640816,1.9534693875,0.6873469385,3.683673469,24.3738775509,6.3330612241,3.6344588976,0.5282762854,8.8675910405,0.1222897956,1.118155918,15.0412896119,0.7247387752,0.0910562446,0.1428571428571428,3
DMC(디지털미디어시티),2022,4,2022-4,42.0,6.0,0.0,34.0,14.0,48.0,16.9093749957,48.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,44.1562499996,5.5062499996,0.1875,40.0321124992,1.9212499996,0.5868749996,3.5312499998,22.805624999,5.8962499996,3.3566036249,0.5117171038,9.7896680619,0.0944124998,1.1346566663,15.391691166,0.5187104162,0.1372346663,0.2916666666666667,3
DMC(디지털미디어시티),2023,1,2023-1,38.0,6.0,0.0,34.0,10.0,44.0,15.8572727182,44.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,43.675,5.3454545452,0.2045454545,38.8768499997,1.9588636359,0.6020454542,3.4090909087,21.4768181815,5.6195454543,3.2466017271,0.5780729769,7.8081068405,0.0511818179,0.8786415907,15.0422804768,0.4506181815,0.1560408859,0.2272727272727272,3
가락시장역,2022,1,2022-1,17.0,0.0,0.0,13.0,4.0,17.0,1.4552940986,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.205882371,5.3058823565,0.5294117647,95.7441176805,3.8129411789,2.1323529442,5.970588183,4.7147058845,3.2594117695,3.8100623573,0.0798002958,22.2365053516,2.0465294127,8.0838705954,32.3327647284,6.3707058877,-5.6e-09,0.2352941176470588,1
가락시장역,2022,2,2022-2,18.0,0.0,0.0,13.0,5.0,18.0,1.9899999851,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8999999908,5.0833333303,0.5,95.7416665766,3.7399999985,2.2044444454,5.9166666538,6.6266666563,4.6366666622,4.1906731686,0.3643740017,25.9947343693,2.7106666655,13.1285222145,51.6766444036,7.2599444473,1.9e-09,0.2777777777777778,1
가락시장역,2022,3,2022-3,18.0,0.0,0.0,15.0,3.0,18.0,2.397777766,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.9000000125,5.0833333364,0.5,95.7416666838,3.7400000019,2.2361111138,5.9166665689,6.949999998,4.5522222226,4.4023222256,0.4940061682,28.4657576075,2.7733888903,13.5191944465,53.5854833323,8.8308888902,-8.1e-09,0.1666666666666666,1
가락시장역,2022,4,2022-4,18.0,0.0,0.0,16.0,2.0,18.0,2.4083333109,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8999999979,5.083333334,0.5,95.7416666554,3.7400000007,2.2088888894,5.9166667167,6.8638888912,4.4555555566,3.7238709425,0.3984945013,27.1973039845,2.6846666659,14.8655277791,56.281241109,8.0052222218,-1.95e-08,0.1111111111111111,1
가락시장역,2023,1,2023-1,20.0,0.0,0.0,18.0,2.0,20.0,2.2078947262,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3500000006,4.7050000011,0.45,98.1284999744,3.6760000003,1.9805000015,5.8249999827,6.5652631588,4.3573684207,2.5955209996,0.6190640012,25.2360642486,2.1729000001,12.586324999,51.5679999953,6.4366999982,4.9e-09,0.1,1
