,컬럼ID,컬럼 정의,합계/평균,단위,데이터 예시,비고,,,,,,,
1,상권_코드_명,상권명,,,화곡역,총 113개 상권,,,,,,,
2,기준_년_코드,년도,,,2022,"2022년, 2023년",,,,,,,
3,기준_분기_코드,분기,,,1,"2022년 1~4분기, 2023 1~2분기",,,,,,,
4,yearquarter,년도+분기,,,20221,2022-1 ~ 2023-2까지 6개 분기를 그룹화할 때 기준변수로 사용하려고 만든 파생 컬럼,,,,,,,
5,lease_sole,타가(개인) 점포 수,합계,개,10,,,,,,,,
6,lease_corp,타가(법인) 점포 수,합계,개,10,,,,,,,,
7,owner,자가 점포 수,합계,개,10,,,,,,,,
8,is_risky_0,경영위기 아닌 점포 수,합계,개,10,,,,,,,,
9,is_risky_1,경영위기인 점포 수,합계,개,10,,,,,,,,
10,total_stores_count,총 점포 수,합계,개,10,,,,,,,,
11,existing_customers_count,기존 고객 수,평균,명,100,총 고객 수(sum_customer_cnt) - 신규 고객 수sum_new_customer_cnt) 컬럼으로 생성한 파생 컬럼,,,,,,,
12,Restaurant,외식업 점포 수,합계,개,10,class1(업종분류1 기준),,,,,,,
13,Service,서비스업 점포 수,합계,개,10,class1(업종분류1 기준),,,,,,,
14,Distribution,유통업 점포 수,합계,개,10,class1(업종분류1 기준),,,,,,,
15,Japanese,일식 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
16,Korean,한식 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
17,Western,양식 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
18,Bar,술집 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
19,PersonalService,개인서비스업 점포 수,합계,개,10,class2(업종분류2 기준) / 원래 컬럼 => 개인 서비스업,,,,,,,
20,ArtSportsandLeisure-relatedServiceIndustry,예술스포츠및여가관련서비스업 점포 수,합계,개,10,"class2(업종분류2 기준) / 원래 컬럼 => 예술, 스포츠 및 여가관련 서비스업",,,,,,,
21,BakeryDessert,베이커리디저트 점포 수,합계,개,10,class2(업종분류2 기준) / 원래 컬럼 => 베이커리/디저트,,,,,,,
22,Cafe,카페 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
23,ProfessionalDistribution,전문유통 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
24,HealthcareServiceIndustry,건강의료서비스업 점포 수,합계,개,10,class2(업종분류2 기준) / 원래 컬럼 => 건강/의료 서비스업,,,,,,,
25,EducationServiceIndustry,교육서비스업 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
26,Fastfood,패스트푸드 점포 수,합계,개,10,class2(업종분류2 기준),,,,,,,
27,average(age),점주의 연령,평균,세,32.5,,,,,,,,
28,average(duration),업력,평균,년,15,,,,,,,,
29,average(is_franchise),프랜차이즈 비율,평균,,0.1756,,,,,,,,
30,average(business_square_size),매장 면적,평균,m^2,199.3,,,,,,,,
31,average(monthly_rental_fee),월 임대료,평균,백만원,2.643,,,,,,,,
32,average(regular_employees_count),정규 고용 인원,평균,명,10,,,,,,,,
33,average(rental_deposit),임대 보증금,평균,천만원,0.5,,,,,,,,
34,average(sum_customer_cnt),고객 수,평균,명,100,,,,,,,,
35,average(sum_new_customer_cnt),신규 고객 수,평균,명,100,,,,,,,,
36,average(sum_purchase_card),카드 매입액,평균,백만원,2.1,사업장 명의 카드,,,,,,,
37,average(sum_purchase_cash),현금 매입액,평균,백만원,2.1,사업장 명의 현금 영수증,,,,,,,
38,average(sum_purchase_invoice),매입 세금계산서,평균,백만원,2.1,사업장 명의 세금계산서,,,,,,,
39,average(sum_weekend_sales_delivery),"주말 (토,일) 배달 매출액",평균,백만원,2.1,,,,,,,,
40,average(sum_weekend_sales_card),"주말 (토,일) 카드 매출액",평균,백만원,2.1,,,,,,,,
41,average(sum_sales_card),카드 매출액,평균,백만원,2.1,,,,,,,,
42,average(sum_sales_delivery),배달 매출액,평균,백만원,2.1,,,,,,,,
43,average(sum_sales_invoice),매출 세금계산서,평균,백만원,2.1,사업장 명의 계산서 ,,,,,,,
44,경영_위기_비율,경영위기 비율,평균,,0.1486,상권별 총 점포수가 100이고 경영위기 점포 수가 10이면 해당 컬럼은 0.1의 값을 가짐,,,,,,,
