상권_코드_명,기준_년_코드,기준_분기_코드,업종_대분류,경영_위기_비율,상권_코드,집객시설_수,교통_인프라,총 상주인구 수,총_직장_인구_수,총_생활인구_수,월_평균_소득_금액,연령대_1020_매출_비율,연령대_3040_매출_비율,연령대_5060_매출_비율,주중_매출_비율,주말_매출_비율,남성_매출_비율,여성_매출_비율,유사_업종_점포_수,개업률,폐업률
DMC(디지털미디어시티),2022,1,외식업,0.1509433962,2120098,72,24,1285,8846.0,318202,3567709.0,20.6,62.1,17.6,87.8,12.4,57.5,42.5,421,4.08,2.04
DMC(디지털미디어시티),2022,2,외식업,0.2075471698,2120098,72,24,1285,8846.0,358782,3567709.0,21.0,60.8,18.7,86.4,13.6,56.4,43.8,424,6.08,4.39
DMC(디지털미디어시티),2022,3,외식업,0.1428571429,2120098,72,24,1285,8846.0,352688,3567709.0,21.0,61.0,18.0,85.8,14.4,56.4,43.7,426,5.0,4.67
DMC(디지털미디어시티),2022,4,외식업,0.2916666667,2120098,72,24,1285,8846.0,355095,3567709.0,20.7,60.4,18.8,83.0,17.0,56.8,43.2,427,6.98,6.64
가락시장역,2022,1,외식업,0.2352941176,2120234,62,3,2694,10268.0,1430185,3494644.0,15.27,49.73,35.09,77.82,22.27,61.82,38.18,294,2.74,4.57
가락시장역,2022,2,외식업,0.2777777778,2120234,62,3,2694,10268.0,1490392,3494644.0,13.82,51.45,35.0,77.73,22.36,62.27,37.91,291,5.48,5.48
가락시장역,2022,3,외식업,0.1666666667,2120234,62,3,2694,10268.0,1522873,3494644.0,15.55,47.64,36.91,78.45,21.91,62.27,37.91,292,4.89,5.78
가락시장역,2022,4,외식업,0.1111111111,2120234,62,3,2694,10268.0,1613064,3494644.0,15.91,53.91,30.55,77.64,22.36,67.91,32.18,291,3.57,4.02
가로수길,2022,1,서비스업,0.16,2120186,42,3,3152,6518.0,1977135,3602514.0,15.43,48.79,36.14,77.0,23.14,41.71,58.36,443,2.98,0.92
가로수길,2022,1,외식업,0.0810810811,2120186,42,3,3152,6518.0,1977135,3602514.0,40.64,42.27,17.36,67.45,32.55,49.55,50.55,511,2.47,1.57
가로수길,2022,1,유통업,0.12,2120186,42,3,3152,6518.0,1977135,3602514.0,23.39,43.44,33.33,68.83,31.22,50.89,49.28,713,1.9,1.46
가로수길,2022,2,서비스업,0.2222222222,2120186,42,3,3152,6518.0,2273038,3602514.0,16.5,53.79,30.14,78.71,21.29,41.57,58.64,442,1.61,1.84
가로수길,2022,2,외식업,0.08,2120186,42,3,3152,6518.0,2273038,3602514.0,38.36,45.82,16.18,68.0,32.0,48.64,51.64,514,4.86,3.31
가로수길,2022,2,유통업,0.16,2120186,42,3,3152,6518.0,2273038,3602514.0,27.0,38.76,34.53,64.76,35.29,39.88,60.24,703,1.33,2.07
가로수길,2022,3,서비스업,0.2,2120186,42,3,3152,6518.0,2308808,3602514.0,16.07,50.86,33.14,78.29,21.86,48.14,51.86,452,3.15,0.9
가로수길,2022,3,외식업,0.1058823529,2120186,42,3,3152,6518.0,2308808,3602514.0,39.64,43.55,17.0,69.91,30.18,49.55,50.64,514,3.51,3.51
가로수길,2022,3,유통업,0.28,2120186,42,3,3152,6518.0,2308808,3602514.0,21.12,46.88,32.24,71.35,28.71,48.82,51.41,706,2.07,1.33
가로수길,2022,4,서비스업,0.4375,2120186,42,3,3152,6518.0,2278365,3602514.0,12.5,51.86,35.71,76.64,23.5,42.86,57.29,460,3.31,1.55
가로수길,2022,4,외식업,0.1222222222,2120186,42,3,3152,6518.0,2278365,3602514.0,38.27,45.64,16.18,67.64,32.45,49.73,50.27,517,4.77,4.34
가로수길,2022,4,유통업,0.3571428571,2120186,42,3,3152,6518.0,2278365,3602514.0,23.41,48.59,28.35,68.65,31.41,51.88,48.12,715,2.61,2.03
가산디지털단지,2022,1,서비스업,0.2222222222,2120131,212,85,3865,81100.0,1084018,2632542.0,18.89,46.22,35.0,87.83,12.22,59.17,41.06,852,1.2,0.84
가산디지털단지,2022,1,외식업,0.1629213483,2120131,212,85,3865,81100.0,1084018,2632542.0,22.27,54.18,23.45,89.36,10.73,59.45,40.64,1007,4.43,3.14
가산디지털단지,2022,1,유통업,0.2222222222,2120131,212,85,3865,81100.0,1084018,2632542.0,16.71,53.33,30.14,85.05,15.05,58.33,41.81,3286,1.27,1.17
가산디지털단지,2022,2,서비스업,0.1111111111,2120131,212,85,3865,81100.0,1142582,2632542.0,18.56,58.06,23.44,84.17,15.83,58.39,41.61,846,1.09,1.33
가산디지털단지,2022,2,외식업,0.1444444444,2120131,212,85,3865,81100.0,1142582,2632542.0,21.82,55.55,22.82,89.18,10.82,59.45,40.64,1012,6.21,4.66
가산디지털단지,2022,2,유통업,0.2083333333,2120131,212,85,3865,81100.0,1142582,2632542.0,10.7,55.6,33.75,83.6,16.5,59.65,40.35,3280,1.21,1.05
가산디지털단지,2022,3,서비스업,0.2222222222,2120131,212,85,3865,81100.0,1102802,2632542.0,16.83,52.28,31.28,83.0,17.06,56.06,44.11,852,1.56,0.6
가산디지털단지,2022,3,외식업,0.1518324607,2120131,212,85,3865,81100.0,1102802,2632542.0,22.64,54.91,22.73,89.64,10.36,59.45,40.64,1023,7.45,5.91
가산디지털단지,2022,3,유통업,0.2592592593,2120131,212,85,3865,81100.0,1102802,2632542.0,14.95,58.05,27.05,87.1,12.9,55.0,45.05,3261,1.4,1.72
가산디지털단지,2022,4,서비스업,0.2,2120131,212,85,3865,81100.0,1126773,2632542.0,16.67,55.06,28.56,82.44,17.56,59.0,41.11,857,2.02,1.55
