일반_대표자_성별코드,대표자연령대코드,고용근로자수,환산임대료,일반_사업자형태코드,산업중분류코드,일반_창업형태코드,일반_현사업체_직전종사상지위항목코드,창업_비용_총창업비용,창업_비용_본인부담금액,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_영업이익,경영_전자상거래_매출비율,경영_부채금액
1,20,0,91.0,1,10,1,3,50.0,50.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,60,40,0,0,0,2,0,0
1,20,0,82.0,1,10,3,4,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,11,0,0
1,20,0,156.0,1,25,1,3,200.0,100.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,100,0,0,0,0,35,0,100
1,20,0,0.0,1,28,1,4,25.0,25.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,100,0,0,0,0,24,0,0
1,20,0,0.0,1,29,1,4,30.0,30.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,100,0,0,0,0,8,0,0
1,20,0,460.0,1,47,1,3,150.0,50.0,4.0,2.0,5.0,2.0,5.0,3.0,2.0,10,80,10,0,0,8,0,3
1,20,0,32.0,1,47,1,3,10.0,10.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,100,0,0,0,0,4,0,0
1,20,0,5.0,1,47,1,4,21.0,21.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0,100,0,0,0,13,100,0
1,20,0,0.0,1,47,1,4,10.0,10.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,100,0,0,0,0,6,100,0
1,20,0,228.0,1,56,1,3,80.0,80.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,1,99,0,0,0,17,0,20
1,20,0,88.0,1,62,1,4,40.0,40.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,100,0,0,0,0,19,100,0
1,20,0,96.0,1,63,1,3,30.0,30.0,3.0,5.0,5.0,5.0,4.0,3.0,4.0,10,90,0,0,0,25,0,80
1,20,0,234.0,1,68,2,3,80.85938615,66.39471806,2.780870807,2.592433976,3.48608137,2.971448965,2.952890792,2.678800857,2.960028551,100,0,0,0,0,19,0,0
1,20,0,94.0,1,71,1,3,30.0,30.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,100,0,0,0,0,12,0,0
1,20,0,52.68,1,74,1,3,20.0,20.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,100,0,0,0,0,0,0,60
1,20,0,0.0,1,74,1,3,5.0,5.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,100,0,0,0,0,15,0,0
1,20,0,20.0,1,74,1,4,25.0,15.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,90,10,0,0,0,17,0,21
1,20,0,100.0,1,75,1,4,30.0,30.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,100,0,0,0,0,-8,0,80
