조사차수,일반_대표자_성별코드,대표자연령대코드,일반_합계종사자수,일반_합계_남자종사자수,일반_합계_여자종사자수,일반_대표자종사자수,일반_대표자_남자종사자수,일반_대표자_여자종사자수,일반_근로계약기간_1년이상_종사자수,일반_근로계약기간_1년이상_남자종사자수,일반_근로계약기간_1년이상_여자종사자수,일반_근로계약기간_3개월이상1년미만_종사자수,일반_근로계약기간_3개월이상1년미만_남자종사자수,일반_근로계약기간_3개월이상1년미만_여자종사자수,일반_근로계약기간_3개월미만_종사자수,일반_근로계약기간_3개월미만_남자종사자수,일반_근로계약기간_3개월미만_여자종사자수,일반_무급가족종사자수,일반_무급가족_남자종사자수,일반_무급가족_여자종사자수,일반_기타근로자종사자수,일반_기타근로자_남자종사자수,일반_기타근로자_여자종사자수,일반_사업자형태코드,산업중분류코드,일반_프랜차이즈가맹점여부,일반_창업형태코드,일반_창업인수승계_연도,일반_창업인수승계_월,일반_사업장이전_경험여부,일반_사업장이전_사유코드,일반_현사업체_직전종사상지위항목코드,일반_창업횟수,창업_동기코드,창업_준비기간_창업_준비기간_년수,창업_준비기간_창업_준비기간_월수,창업_준비활동중요성_사업계획서작성코드,창업_준비활동중요성_시장조사코드,창업_준비활동중요성_동종업종종사경험코드,창업_준비활동중요성_창업교육코드,창업_준비활동_사업계획서작성여부,창업_준비활동_시장조사여부,창업_준비활동_동종업종종사경험여부,창업_준비활동_창업교육여부,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,창업_비용_총창업비용,창업_비용_본인부담금액,경영_영업기간_하루평균시간수,경영_영업기간_월평균일수,경영_영업기간_년간월수,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_고객결재방법_합계비율,경영_점유형태코드,경영_점유형태_임차형태코드,경영_점유형태_보증금액,경영_점유형태_월세금액,경영_점유형태_일정비율지급금액,경영_운영활동코드1,경영_운영활동코드2,경영_운영활동코드3,경영_운영활동코드4,경영_운영활동코드5,경영_운영활동_디지털대응1코드,경영_운영활동_디지털대응2코드,경영_운영활동_디지털대응3코드,경영_운영활동_디지털대응4코드,경영_운영활동_디지털대응5코드,경영_운영활동_디지털대응6코드,경영_단체활동여부,경영_매출금액,경영_영업비용,경영_영업비용_매출원가,경영_영업비용_급여총액,경영_영업비용_임차료,경영_영업비용_기타금액,경영_영업이익,경영_전자상거래_매출실적여부,경영_전자상거래_매출비율,경영_부채여부,경영_부채금액,경영_애로사항1코드,경영_애로사항2코드,정부지원정책_지원경험코드,정부지원정책_추진정책1코드,정부지원정책_추진정책2코드,코로나19_지원정책1코드,코로나19_지원정책2코드,사업전환_운영계획코드,사업전환_운영계획_소유권승계계획여부,사업전환_노후준비1해당여부,사업전환_노후준비2해당여부,사업전환_노후준비3해당여부,사업전환_노후준비4해당여부,사업전환_노후준비5해당여부,사업체수가중값,종사자수가중값,매출금액가중값,행정구역시도코드,기준연도
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,2,1,2020,3,2,0.0,3,1,2.0,0.0,6.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,50.0,50.0,6,20,12,60.0,40.0,0.0,0.0,0.0,100,2,1.0,1000.0,79.0,0.0,6.0,,,,,,,,,,,2,20,18,5.0,0.0,10.0,3.0,2,2,0.0,2,0.0,1.0,8.0,1,1.0,5.0,1.0,4.0,1,2.0,1.0,,,,,26.3604651163,23.4306569343,18.4901341282,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,2,3,2017,1,1,5.0,4,1,2.192005710206995,0.7723054960742327,2.8344039971448964,3.451820128479657,3.857244825124911,4.003568879371877,2.9771591720199857,1.4789436117059245,1.3276231263383298,1.3261955745895788,1.7401855817273375,2.780870806566738,2.59243397573162,3.486081370449679,2.9714489650249822,2.9528907922912206,2.678800856531049,2.960028551034975,80.85938615274804,66.39471805852962,8,24,12,100.0,0.0,0.0,0.0,0.0,100,2,1.0,1000.0,70.0,0.0,6.0,,,,,,,,,,,1,36,25,13.0,0.0,8.0,4.0,11,2,0.0,2,0.0,1.0,2.0,1,1.0,5.0,1.0,4.0,1,2.0,1.0,4.0,,,,26.3604651163,23.4306569343,18.4901341282,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25,2,1,2017,7,2,0.0,3,1,2.0,0.0,6.0,2.0,3.0,5.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,200.0,100.0,8,20,12,100.0,0.0,0.0,0.0,0.0,100,2,1.0,3000.0,120.0,0.0,6.0,,,,,,,,,,,2,108,73,54.0,0.0,14.0,5.0,35,2,0.0,1,100.0,3.0,,1,1.0,3.0,1.0,3.0,1,2.0,1.0,2.0,4.0,,,66.2765957447,62.4074074074,66.6546875,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28,2,1,2019,8,2,0.0,4,1,2.0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,25.0,25.0,8,22,12,100.0,0.0,0.0,0.0,0.0,100,2,5.0,0.0,0.0,0.0,1.0,,,,,,,,,,,2,50,26,16.0,0.0,0.0,10.0,24,2,0.0,2,0.0,3.0,,1,3.0,6.0,1.0,6.0,1,1.0,1.0,2.0,3.0,,,36.7058823529,35.8421052632,30.0500639503,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,2,1,2019,7,2,0.0,4,1,2.0,1.0,0.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,30.0,30.0,8,20,12,100.0,0.0,0.0,0.0,0.0,100,2,5.0,0.0,0.0,0.0,6.0,,,,,,,,,,,2,18,10,8.0,0.0,0.0,2.0,8,2,0.0,2,0.0,2.0,,1,5.0,,7.0,,1,2.0,4.0,,,,,51.7222222222,47.756097561,80.2062419562,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47,2,1,2017,7,2,0.0,3,1,2.0,0.0,6.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,5.0,2.0,5.0,3.0,2.0,150.0,50.0,12,28,12,10.0,80.0,10.0,0.0,0.0,100,2,1.0,5000.0,400.0,0.0,1.0,2.0,,,,,,,,,,2,173,165,0.0,0.0,62.0,103.0,8,2,0.0,1,3.0,2.0,7.0,1,1.0,2.0,1.0,,1,2.0,6.0,,,,,886.7884615385,711.3962264151,578.4623965296,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47,2,1,2019,4,2,0.0,3,1,2.0,1.0,0.0,5.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,10.0,10.0,8,24,12,100.0,0.0,0.0,0.0,0.0,100,2,1.0,1000.0,20.0,0.0,6.0,,,,,,,,,,,2,10,6,2.0,0.0,3.0,1.0,4,2,0.0,2,0.0,2.0,3.0,1,1.0,5.0,1.0,2.0,3,,6.0,,,,,886.7884615385,711.3962264151,578.4623965296,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47,2,1,2020,3,2,0.0,4,1,2.0,0.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,21.0,21.0,10,20,12,0.0,100.0,0.0,0.0,0.0,100,2,2.0,0.0,5.0,0.0,6.0,,,,,,,,,,,2,30,17,12.0,0.0,1.0,4.0,13,1,100.0,2,0.0,2.0,,1,1.0,3.0,1.0,2.0,1,2.0,6.0,,,,,886.7884615385,711.3962264151,578.4623965296,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,47,2,1,2020,5,2,0.0,4,1,3.0,0.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,10.0,10.0,10,30,12,100.0,0.0,0.0,0.0,0.0,100,2,5.0,0.0,0.0,0.0,6.0,,,,,,,,,,,2,10,4,3.0,0.0,0.0,1.0,6,1,100.0,2,0.0,2.0,3.0,1,5.0,6.0,1.0,6.0,1,2.0,4.0,,,,,886.7884615385,711.3962264151,578.4623965296,11,2021
5,1,20,1,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,56,2,1,2018,6,2,0.0,3,1,2.0,0.0,7.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,80.0,80.0,8,25,12,1.0,99.0,0.0,0.0,0.0,100,2,1.0,4000.0,180.0,0.0,1.0,,,,,,,,,,,2,85,68,40.0,0.0,22.0,6.0,17,2,0.0,1,20.0,1.0,5.0,1,1.0,5.0,1.0,7.0,1,2.0,6.0,,,,,1403.3958333333,1010.5365853659,1629.6258351893,11,2021
