상권_코드_명,기준_년_코드,기준_분기_코드,average(is_risky)
DMC(디지털미디어시티),2022,1,0.1509433962264151
DMC(디지털미디어시티),2022,2,0.20754716981132076
DMC(디지털미디어시티),2022,3,0.14285714285714285
DMC(디지털미디어시티),2022,4,0.2916666666666667
DMC(디지털미디어시티),2023,1,0.22727272727272727
가락시장역,2022,1,0.23529411764705882
가락시장역,2022,2,0.2777777777777778
가락시장역,2022,3,0.16666666666666666
가락시장역,2022,4,0.1111111111111111
가락시장역,2023,1,0.1
가로수길,2022,1,0.10483870967741936
가로수길,2022,2,0.12598425196850394
가로수길,2022,3,0.15714285714285714
가로수길,2022,4,0.23333333333333334
가로수길,2023,1,0.1678832116788321
가산디지털단지,2022,1,0.17488789237668162
가산디지털단지,2022,2,0.14864864864864866
가산디지털단지,2022,3,0.1694915254237288
가산디지털단지,2022,4,0.18699186991869918
가산디지털단지,2023,1,0.21031746031746032
강남구청역,2022,1,0.2
강남구청역,2022,2,0.1388888888888889
강남구청역,2022,3,0.18181818181818182
강남구청역,2022,4,0.15555555555555556
강남구청역,2023,1,0.14285714285714285
강남역,2022,1,0.1551155115511551
강남역,2022,2,0.20625
강남역,2022,3,0.25287356321839083
강남역,2022,4,0.23229461756373937
강남역,2023,1,0.1867816091954023
강동구청역,2022,1,0.21428571428571427
강동구청역,2022,2,0.25806451612903225
강동구청역,2022,3,0.24242424242424243
강동구청역,2022,4,0.21875
강동구청역,2023,1,0.2
강동역 4번(강풀만화거리),2022,1,0.2
강동역 4번(강풀만화거리),2022,2,0.3125
강동역 4번(강풀만화거리),2022,3,0.2857142857142857
강동역 4번(강풀만화거리),2022,4,0.47368421052631576
강동역 4번(강풀만화거리),2023,1,0.3333333333333333
강변역(테크노마트),2022,1,0.2222222222222222
강변역(테크노마트),2022,2,0.2857142857142857
강변역(테크노마트),2022,3,0.17647058823529413
강변역(테크노마트),2022,4,0.25
강변역(테크노마트),2023,1,0.2222222222222222
강서구청,2022,1,0.19047619047619047
강서구청,2022,2,0.15789473684210525
강서구청,2022,3,0.15
강서구청,2022,4,0.13043478260869565
강서구청,2023,1,0.0
건대입구역(건대),2022,1,0.16216216216216217
건대입구역(건대),2022,2,0.19090909090909092
건대입구역(건대),2022,3,0.19642857142857142
건대입구역(건대),2022,4,0.1794871794871795
건대입구역(건대),2023,1,0.18333333333333332
경의선책거리,2022,1,0.14285714285714285
경의선책거리,2022,2,0.3684210526315789
경의선책거리,2022,3,0.3888888888888889
경의선책거리,2022,4,0.3125
경의선책거리,2023,1,0.4
경희대학교(경희대),2022,1,0.1111111111111111
경희대학교(경희대),2022,2,0.21052631578947367
경희대학교(경희대),2022,3,0.09523809523809523
경희대학교(경희대),2022,4,0.05263157894736842
경희대학교(경희대),2023,1,0.1111111111111111
광화문역,2022,1,0.08333333333333333
광화문역,2022,2,0.13114754098360656
광화문역,2022,3,0.08196721311475409
광화문역,2022,4,0.16666666666666666
광화문역,2023,1,0.09375
교대역(법원.검찰청),2022,1,0.20930232558139536
교대역(법원.검찰청),2022,2,0.22826086956521738
교대역(법원.검찰청),2022,3,0.24271844660194175
교대역(법원.검찰청),2022,4,0.2912621359223301
교대역(법원.검찰청),2023,1,0.2702702702702703
구로디지털단지,2022,1,0.13846153846153847
구로디지털단지,2022,2,0.21311475409836064
구로디지털단지,2022,3,0.26865671641791045
구로디지털단지,2022,4,0.22535211267605634
구로디지털단지,2023,1,0.18309859154929578
구로디지털단지역,2022,1,0.19047619047619047
구로디지털단지역,2022,2,0.15
구로디지털단지역,2022,3,0.09523809523809523
구로디지털단지역,2022,4,0.08333333333333333
구로디지털단지역,2023,1,0.08333333333333333
구로역,2022,1,0.15151515151515152
구로역,2022,2,0.36666666666666664
구로역,2022,3,0.23529411764705882
구로역,2022,4,0.38235294117647056
구로역,2023,1,0.19444444444444445
구역삼세무서,2022,1,0.09836065573770492
구역삼세무서,2022,2,0.16129032258064516
구역삼세무서,2022,3,0.24615384615384617
구역삼세무서,2022,4,0.208955223880597
구역삼세무서,2023,1,0.18181818181818182
구의역,2022,1,0.09523809523809523
구의역,2022,2,0.04878048780487805
구의역,2022,3,0.09523809523809523
구의역,2022,4,0.07317073170731707
구의역,2023,1,0.09523809523809523
국회의사당역(국회의사당),2022,1,0.09523809523809523
국회의사당역(국회의사당),2022,2,0.13953488372093023
국회의사당역(국회의사당),2022,3,0.11904761904761904
국회의사당역(국회의사당),2022,4,0.19148936170212766
국회의사당역(국회의사당),2023,1,0.0784313725490196
군자역,2022,1,0.13580246913580246
군자역,2022,2,0.22093023255813954
군자역,2022,3,0.1702127659574468
군자역,2022,4,0.1619047619047619
군자역,2023,1,0.1792452830188679
길동역,2022,1,0.2127659574468085
길동역,2022,2,0.20833333333333334
길동역,2022,3,0.08888888888888889
길동역,2022,4,0.2127659574468085
길동역,2023,1,0.1702127659574468
노량진역(노량진),2022,1,0.23809523809523808
노량진역(노량진),2022,2,0.42857142857142855
노량진역(노량진),2022,3,0.4090909090909091
노량진역(노량진),2022,4,0.20833333333333334
노량진역(노량진),2023,1,0.20833333333333334
노원역,2022,1,0.18571428571428572
노원역,2022,2,0.20863309352517986
노원역,2022,3,0.20689655172413793
노원역,2022,4,0.1986754966887417
노원역,2023,1,0.19631901840490798
논현역,2022,1,0.16279069767441862
논현역,2022,2,0.20481927710843373
논현역,2022,3,0.18823529411764706
논현역,2022,4,0.27906976744186046
논현역,2023,1,0.27586206896551724
당산역,2022,1,0.125
당산역,2022,2,0.0
당산역,2022,3,0.05263157894736842
당산역,2022,4,0.0
당산역,2023,1,0.047619047619047616
대학로(혜화역),2022,1,0.125
대학로(혜화역),2022,2,0.19166666666666668
대학로(혜화역),2022,3,0.2074074074074074
대학로(혜화역),2022,4,0.19708029197080293
대학로(혜화역),2023,1,0.16312056737588654
도화동 상점가,2022,1,0.1388888888888889
도화동 상점가,2022,2,0.1111111111111111
도화동 상점가,2022,3,0.075
도화동 상점가,2022,4,0.09090909090909091
도화동 상점가,2023,1,0.11904761904761904
둔촌역,2022,1,0.6666666666666666
둔촌역,2022,2,0.6666666666666666
둔촌역,2022,3,0.5
둔촌역,2022,4,0.15789473684210525
둔촌역,2023,1,0.3
등촌역,2022,1,0.21052631578947367
등촌역,2022,2,0.1
등촌역,2022,3,0.23809523809523808
등촌역,2022,4,0.23809523809523808
등촌역,2023,1,0.09523809523809523
뚝섬역,2022,1,0.0
뚝섬역,2022,2,0.05
뚝섬역,2022,3,0.047619047619047616
뚝섬역,2022,4,0.1
뚝섬역,2023,1,0.0
로데오거리상점가,2022,1,0.19047619047619047
로데오거리상점가,2022,2,0.09523809523809523
로데오거리상점가,2022,3,0.09523809523809523
로데오거리상점가,2022,4,0.21052631578947367
로데오거리상점가,2023,1,0.13333333333333333
르네상스호텔사거리,2022,1,0.15
르네상스호텔사거리,2022,2,0.375
르네상스호텔사거리,2022,3,0.125
르네상스호텔사거리,2022,4,0.17647058823529413
르네상스호텔사거리,2023,1,0.3333333333333333
마곡역(마곡),2022,1,0.18181818181818182
마곡역(마곡),2022,2,0.19444444444444445
마곡역(마곡),2022,3,0.21008403361344538
마곡역(마곡),2022,4,0.24193548387096775
마곡역(마곡),2023,1,0.2601626016260163
망리단길,2022,1,0.18518518518518517
망리단길,2022,2,0.2033898305084746
망리단길,2022,3,0.2413793103448276
망리단길,2022,4,0.1888111888111888
망리단길,2023,1,0.25
명일역,2022,1,0.09090909090909091
명일역,2022,2,0.14
명일역,2022,3,0.09259259259259259
명일역,2022,4,0.09615384615384616
명일역,2023,1,0.07692307692307693
목동사거리,2022,1,0.0
목동사거리,2022,2,0.2222222222222222
목동사거리,2022,3,0.1111111111111111
목동사거리,2022,4,0.2
목동사거리,2023,1,0.2222222222222222
